<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220824;000000;21526.7400000;21925.0000000;21147.4100000;21367.1200000;22530
20220825;000000;21367.1200000;21818.3200000;21307.3200000;21561.8600000;17075
20220826;000000;21561.4900000;21878.0500000;20112.7800000;20240.7200000;37180
20220827;000000;20240.6300000;20389.1400000;19800.0000000;20036.6900000;22167
20220828;000000;20035.3000000;20164.2600000;19513.7400000;19554.0300000;17104
20220829;000000;19552.3100000;20427.1900000;19545.5700000;20286.9700000;33437
20220830;000000;20286.9500000;20582.6400000;19540.1400000;19813.1700000;46456
20220831;000000;19813.9700000;20489.0000000;19799.9700000;20048.2600000;36615
20220901;000000;20048.2700000;20205.5300000;19561.0100000;20133.6500000;23869
20220902;000000;20132.6700000;20444.0000000;19755.0000000;19953.7400000;19944
20220903;000000;19953.4000000;20053.9000000;19655.0000000;19835.4700000;9534
20220904;000000;19833.5900000;20026.2000000;19588.2700000;20004.7300000;10675
20220905;000000;20003.8500000;20060.0000000;19633.1100000;19794.5800000;13935
20220906;000000;19794.5900000;20179.8600000;18663.2500000;18790.9100000;34025
20220907;000000;18790.7700000;19466.0900000;18527.0000000;19293.5200000;25578
20220908;000000;19293.0300000;19460.7000000;19014.4300000;19321.8700000;20333
20220909;000000;19322.5600000;21616.2100000;19294.4900000;21364.5000000;39569
20220910;000000;21366.6100000;21815.1500000;21127.1000000;21651.5200000;17744
20220911;000000;21656.0300000;21865.6600000;21356.3700000;21831.7200000;14369
20220912;000000;21830.1600000;22490.0500000;21555.0000000;22402.7100000;28409
20220913;000000;22402.5800000;22800.0000000;19855.0000000;20174.7800000;37331
20220914;000000;20174.7800000;20545.0000000;19625.0000000;20227.7700000;25134
20220915;000000;20227.7000000;20336.4200000;19500.0000000;19703.6700000;21136
20220916;000000;19703.6500000;19890.9500000;19305.0000000;19801.0400000;24869
20220917;000000;19800.2600000;20183.1400000;19748.8900000;20113.3700000;11550
20220918;000000;20113.3700000;20119.0800000;19335.5700000;19417.6400000;16427
20220919;000000;19417.5600000;19689.6200000;18255.0000000;19540.3800000;30965
20220920;000000;19538.3100000;19638.4600000;18722.0000000;18876.9100000;27456
20220921;000000;18876.1400000;19949.9700000;18153.1300000;18462.6400000;44316
20220922;000000;18462.6600000;19521.8000000;18358.6300000;19401.2500000;40996
20220923;000000;19399.9300000;19500.0000000;18529.0000000;19286.0100000;30774
20220924;000000;19286.0300000;19311.4000000;18808.1300000;18923.2000000;17644
20220925;000000;18920.9300000;19184.3000000;18619.8800000;18808.6100000;14490
20220926;000000;18806.3000000;19320.8600000;18681.0200000;19228.0000000;33110
20220927;000000;19226.9400000;20383.1500000;18821.5500000;19077.5700000;51860
20220928;000000;19077.5600000;19773.6700000;18487.0000000;19412.0700000;43700
20220929;000000;19412.3700000;19646.6600000;18845.3000000;19595.5700000;34783
20220930;000000;19595.5900000;20182.7200000;19154.3800000;19426.1100000;34252
20221001;000000;19423.5700000;19486.4300000;19160.0000000;19315.2700000;7321
20221002;000000;19315.2600000;19398.9400000;18923.8100000;19059.1700000;12948
20221003;000000;19059.1000000;19717.6700000;18958.2900000;19633.4600000;28575
20221004;000000;19632.4300000;20479.4300000;19495.3200000;20345.1900000;32696
20221005;000000;20345.2700000;20371.1500000;19750.0000000;20161.6200000;33553
20221006;000000;20162.1500000;20455.7900000;19855.1900000;19965.6400000;44052
20221007;000000;19963.7500000;20065.2600000;19325.0000000;19533.0500000;34950
20221008;000000;19531.6800000;19628.7800000;19250.0000000;19419.3900000;9754
20221009;000000;19421.4900000;19563.2800000;19321.0000000;19443.4700000;12561
20221010;000000;19442.7000000;19528.0400000;19028.0800000;19132.8300000;26608
20221011;000000;19130.8000000;19265.6900000;18855.1900000;19058.1100000;36255
20221012;000000;19058.4200000;19235.2600000;18971.5100000;19155.9200000;24855
20221013;000000;19153.9700000;19509.2300000;18131.0000000;19378.6500000;49163
20221014;000000;19375.5500000;19954.1400000;19076.8300000;19178.0000000;46217
20221015;000000;19179.1500000;19229.1200000;18983.0000000;19070.2400000;9056
20221016;000000;19070.6200000;19425.4900000;19065.2300000;19264.4400000;8309
20221017;000000;19261.6200000;19679.4600000;19154.7200000;19550.4000000;24134
20221018;000000;19550.3900000;19702.7300000;19091.7700000;19328.7600000;27657
20221019;000000;19328.7500000;19361.0000000;19062.1000000;19124.1800000;22299
20221020;000000;19123.7700000;19349.0400000;18905.0000000;19042.4800000;28407
20221021;000000;19043.6600000;19254.5200000;18659.0000000;19166.4500000;24203
20221022;000000;19164.9200000;19257.6600000;19110.4600000;19209.1000000;7048
20221023;000000;19209.0900000;19698.1000000;19070.9200000;19572.4400000;12090
20221024;000000;19572.2000000;19603.5700000;19159.3500000;19330.4100000;29436
20221025;000000;19332.1100000;20420.8800000;19240.7600000;20086.2800000;42443
20221026;000000;20086.2700000;21022.8100000;20055.8500000;20775.4000000;43593
20221027;000000;20773.5900000;20878.1700000;20196.0100000;20296.9700000;34144
20221028;000000;20295.7700000;20755.0900000;20000.0000000;20597.9100000;29581
20221029;000000;20597.3400000;21080.0000000;20561.2000000;20823.5300000;19834
20221030;000000;20822.3800000;20939.3500000;20523.9200000;20630.6800000;13747
20221031;000000;20629.2100000;20837.6800000;20237.0000000;20489.9400000;22230
20221101;000000;20489.5500000;20691.0000000;20326.5500000;20479.6300000;21125
20221102;000000;20480.3400000;20805.0000000;20059.5300000;20151.4000000;43921
20221103;000000;20151.2900000;20390.8200000;20032.0200000;20206.8800000;26829
20221104;000000;20208.0200000;21298.7600000;20181.6100000;21144.2000000;42019
20221105;000000;21149.0300000;21478.8000000;21082.5400000;21300.4500000;14075
20221106;000000;21300.4500000;21365.8900000;20886.2600000;20909.1700000;10974
20221107;000000;20908.1500000;21069.4600000;20394.3400000;20593.4900000;25280
20221108;000000;20593.3400000;20675.0000000;17500.0000000;18550.2500000;84045
20221109;000000;18546.0700000;18590.3400000;15512.0000000;15891.9600000;119646
20221110;000000;15894.7700000;18140.6200000;15720.0000000;17553.8900000;91505
20221111;000000;17555.4400000;17641.3200000;16336.0500000;17013.6200000;64762
20221112;000000;17014.7800000;17067.7000000;16595.2500000;16783.3300000;23835
20221113;000000;16783.3200000;16926.5700000;16214.9500000;16301.3900000;23243
20221114;000000;16298.7500000;17169.6800000;15790.2500000;16590.7300000;55598
20221115;000000;16588.4100000;17107.8800000;16502.8500000;16877.9300000;48158
20221116;000000;16877.5200000;16964.3400000;16765.4600000;16843.6900000;169
